provinceName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,submission_date
AnHui,1,4,0,0,2020/1/22
AnHui,0,3,0,0,2020/1/22
AnHui,0,2,0,0,2020/1/22
AnHui,0,1,0,0,2020/1/22
AnHui,9,4,0,0,2020/1/23
AnHui,15,0,0,0,2020/1/24
AnHui,9,0,0,0,2020/1/24
AnHui,39,0,0,0,2020/1/25
AnHui,60,0,0,0,2020/1/26
AnHui,30,0,0,0,2020/1/26
AnHui,70,0,0,0,2020/1/27
AnHui,106,0,0,0,2020/1/28
AnHui,152,0,2,0,2020/1/29
AnHui,155,0,2,0,2020/1/29
AnHui,155,0,0,0,2020/1/29
AnHui,152,0,0,0,2020/1/29
AnHui,200,0,2,0,2020/1/30
AnHui,237,0,3,0,2020/1/31
AnHui,297,0,5,0,2020/2/1
AnHui,297,0,4,0,2020/2/1
AnHui,297,0,3,0,2020/2/1
AnHui,237,0,3,0,2020/2/1
AnHui,340,0,7,0,2020/2/2
AnHui,340,0,6,0,2020/2/2
AnHui,340,0,5,0,2020/2/2
AnHui,408,0,14,0,2020/2/3
AnHui,408,0,11,0,2020/2/3
AnHui,408,0,8,0,2020/2/3
AnHui,408,0,7,0,2020/2/3
AnHui,480,0,20,0,2020/2/4
AnHui,480,0,14,0,2020/2/4
AnHui,530,0,23,0,2020/2/5
AnHui,530,0,21,0,2020/2/5
AnHui,530,0,20,0,2020/2/5
AnHui,480,0,20,0,2020/2/5
AnHui,591,0,34,0,2020/2/6
AnHui,591,0,32,0,2020/2/6
AnHui,591,0,23,0,2020/2/6
AnHui,665,0,47,0,2020/2/7
AnHui,665,0,34,0,2020/2/7
AnHui,733,0,59,0,2020/2/8
AnHui,733,0,57,0,2020/2/8
AnHui,733,0,55,0,2020/2/8
AnHui,733,0,47,0,2020/2/8
AnHui,779,0,72,1,2020/2/9
AnHui,779,0,71,1,2020/2/9
AnHui,779,0,68,1,2020/2/9
AnHui,779,0,66,1,2020/2/9
AnHui,779,0,59,1,2020/2/9
AnHui,830,0,88,3,2020/2/10
AnHui,830,0,86,3,2020/2/10
AnHui,830,0,80,3,2020/2/10
AnHui,830,0,73,3,2020/2/10
AnHui,860,0,105,4,2020/2/11
AnHui,860,0,100,4,2020/2/11
AnHui,860,0,88,4,2020/2/11
AnHui,889,0,127,4,2020/2/12
AnHui,889,0,119,4,2020/2/12
AnHui,889,0,117,4,2020/2/12
AnHui,889,0,115,4,2020/2/12
AnHui,889,0,108,4,2020/2/12
AnHui,910,0,157,5,2020/2/13
AnHui,910,0,156,5,2020/2/13
AnHui,910,0,162,5,2020/2/13
AnHui,910,0,149,5,2020/2/13
AnHui,910,0,135,5,2020/2/13
AnHui,910,0,128,5,2020/2/13
AnHui,889,0,127,4,2020/2/13
AnHui,934,0,193,6,2020/2/14
AnHui,934,0,184,6,2020/2/14
AnHui,934,0,179,6,2020/2/14
AnHui,934,0,166,6,2020/2/14
AnHui,950,0,221,6,2020/2/15
AnHui,950,0,217,6,2020/2/15
AnHui,950,0,216,6,2020/2/15
AnHui,950,0,213,6,2020/2/15
AnHui,950,0,205,6,2020/2/15
AnHui,950,0,204,6,2020/2/15
AnHui,950,0,198,6,2020/2/15
AnHui,962,0,255,6,2020/2/16
AnHui,962,0,249,6,2020/2/16
AnHui,962,0,242,6,2020/2/16
AnHui,973,0,280,6,2020/2/17
AnHui,973,0,278,6,2020/2/17
AnHui,973,0,266,6,2020/2/17
AnHui,982,0,361,6,2020/2/18
AnHui,982,0,337,6,2020/2/18
AnHui,982,0,336,6,2020/2/18
AnHui,982,0,334,6,2020/2/18
AnHui,982,0,330,6,2020/2/18
AnHui,982,0,328,6,2020/2/18
AnHui,982,0,320,6,2020/2/18
AnHui,982,0,298,6,2020/2/18
AnHui,982,0,293,6,2020/2/18
AnHui,986,0,413,6,2020/2/19
AnHui,986,0,401,6,2020/2/19
AnHui,986,0,394,6,2020/2/19
AnHui,986,0,389,6,2020/2/19
AnHui,986,0,361,6,2020/2/19
AnHui,987,0,474,6,2020/2/20
AnHui,987,0,459,6,2020/2/20
AnHui,987,0,450,6,2020/2/20
AnHui,987,0,447,6,2020/2/20
AnHui,987,0,439,6,2020/2/20
AnHui,987,0,429,6,2020/2/20
AnHui,987,0,424,6,2020/2/20
AnHui,988,0,539,6,2020/2/21
AnHui,988,0,514,6,2020/2/21
AnHui,988,0,511,6,2020/2/21
AnHui,988,0,500,6,2020/2/21
AnHui,989,0,597,6,2020/2/22
AnHui,989,0,594,6,2020/2/22
AnHui,989,0,591,6,2020/2/22
AnHui,989,0,567,6,2020/2/22
AnHui,989,0,637,6,2020/2/23
AnHui,989,0,630,6,2020/2/23
AnHui,989,0,629,6,2020/2/23
AnHui,989,0,620,6,2020/2/23
AnHui,989,0,663,6,2020/2/24
AnHui,989,0,659,6,2020/2/24
AnHui,989,0,648,6,2020/2/24
AnHui,989,0,712,6,2020/2/25
AnHui,989,0,708,6,2020/2/25
AnHui,989,0,694,6,2020/2/25
AnHui,989,0,692,6,2020/2/25
AnHui,989,0,744,6,2020/2/26
AnHui,989,0,741,6,2020/2/26
AnHui,989,0,739,6,2020/2/26
AnHui,989,0,733,6,2020/2/26
AnHui,989,0,727,6,2020/2/26
AnHui,989,0,792,6,2020/2/27
AnHui,989,0,775,6,2020/2/27
AnHui,989,0,768,6,2020/2/27
AnHui,989,0,764,6,2020/2/27
AnHui,990,0,821,6,2020/2/28
